url,заголовок,комнаты,цена,город,flat.building,house.year,flat.floor,live.square,flat.toilet,flat.balcony,flat.door,inet.type,flat.parking,live.furniture,flat.flooring,ceiling,flat.priv_dorm,has_change,описание,flat.renovation,flat.balcony_g,flat.phone,flat.security,map.complex
https://krisha.kz/a/show/1011510961,"2-комнатная квартира · 54.5 м² · 8/9 этаж, Мкр. Карагайлы 11",2,25000000,"Семей, Красный Кордон",кирпичный,2021,8 из 9,"54.5 м², Площадь кухни — 9.3 м²",совмещенный,лоджия,металлическая,проводной,рядом охраняемая стоянка,без мебели,линолеум,2.5 м,нет,Нет,"Продается 2х комнатная квартира в Карагайлы на 8 этаже. Лифт грузовой, работает 24/7. Квартира не угловая, очень теплая, светлая (солнечная сторона), счетчики на горячую, холодную воду. Просторная лоджия. Хорошие соседи и в целом дружный подъезд. Остановка, поликлиника, магазины, школа в шаговой доступности. Садик во дворе, вид с балкона на фонтан Абай арены 
Рассмотрим равноценный вариант на обмен в г. Павлодар",,,,,
https://krisha.kz/a/show/1009096504,"3-комнатная квартира · 58 м² · 2/9 этаж, Есенберлина 28 — Колледж ЕНУ и Медико-технический колледж",3,24000000,"Астана, Сарыарка р-н",кирпичный,1971,2 из 9,58 м²,совмещенный,балкон,металлическая,проводной,рядом охраняемая стоянка,частично,линолеум,2.7 м,нет,Нет,"Пластиковые окна, комнаты изолированы.

🏡 Полноценная трехкомнатная квартира в районе Сарыарка — отличный вариант для семьи и инвестиций! 
 
✨ Квартира с качественным современным ремонтом, можно заехать и жить без дополнительных вложений 
✨ Все комнаты изолированные, удобная и функциональная планировка 
✨ На площадке всего 4 квартиры, спокойные и порядочные соседи 
✨ Развитая инфраструктура: рядом колледж ЕНУ, КазАТУ, детский сад–школа–гимназия №46, ТРЦ «Арсенал», в двух остановках — СШ №36 и ЖД вокзал 
 ✨В залоге 
 
Кроме того, наша компания дарит каждому покупателю: 
🍀 бесплатное оформление задатка 
🍀 профессиональный правовой анализ документов у нотариуса 
🍀 подарочные сертификаты от партнеров компании 
 
📞 Звоните прямо сейчас — с радостью отвечу на все вопросы и организую показ!","не новый, но аккуратный ремонт",да,нет,"домофон, видеонаблюдение",
https://krisha.kz/a/show/1012115818,"3-комнатная квартира · 73 м² · 2/10 этаж, ул. Каныша Сатпаева 24",3,51999999,"Астана, Алматы р-н",кирпичный,2021,2 из 10,73 м²,совмещенный,лоджия,,,,полностью,ламинат,3 м,нет,Нет,"Улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, тихий двор, кондиционер.

🏡 Продается уютная полноценная 3-комнатная квартира в одной из самых топовых локаций правого берега Астаны — ЖК Салем 
 
✨ 73 кв. м 
✨ 2 этаж 
✨ Удобная и продуманная планировка 
✨ Ремонт делали для себя 
✨ Полностью меблирована и оснащена техникой 
✨ Формат — заезжай и живи без лишних вложений 
 
Тихий двор, удобная транспортная развязка, всё необходимое рядом. 
Такие квартиры долго не задерживаются — особенно когда «для себя» делали, а не «на продажу».",,,,"сигнализация, видеонаблюдение, видеодомофон",Salem
https://krisha.kz/a/show/1011429295,"3-комнатная квартира · 90 м² · 19/23 этаж, Айнакол 66/1 — СРОЧНАЯ ПРОДАЖА",3,51000000,"Астана, Сарайшык р-н",монолитный,2021,19 из 23,90 м²,раздельный,лоджия,металлическая,через TV кабель,паркинг,частично,ламинат,2.9 м,нет,Нет,"🔥🔥🔥СРОЧНО Продам 3-х Комнатную квартиру в ЖК Сенатор Парк, Сарайшык район!🔥🔥🔥 
 
✅ Застройщик: Оркен 
✅ Год постройки: 2021 
✅ Класс дома: Комфорт 
 
✅ПРЕИМУЩЕСТВА КВАРТИРЫ✅: 
➕➕ Шикарное состояние квартиры 
➕➕ Места для игр с мячом, площадки для workout, современные игровые комплексы для активного отдыха 
➕➕ Частично меблирована 
➕➕ Просторные С/У 
➕➕ ОЧЕНЬ МНОГО Полезной площади! 
➕➕ В шаговой доступности: Детский сад №83 ""Жансая"", Spectrum International Kindergarten, Детский сад №79 ""Шабыт"". 
➕➕ Роскошный и дорогое оснащение квартиры 
➕➕ Хорошая транспортная развязка. 
 
🔥🔥🔥ГОРЯЧАЯ ЦЕНА!🔥🔥🔥 
🛑ЗВОНИТЕ ПО ВСЕМ ВОПРОСАМ!🛑",свежий ремонт,,блокиратор,,Сенатор Park
https://krisha.kz/a/show/1006437195,"3-комнатная квартира · 73 м² · 1/5 этаж, 10 лет независимости Казахстана — Возле центрального базара",3,25000000,"Каскелен, Алматинская обл.",кирпичный,1988,1 из 5,73 м²,раздельный,лоджия,металлическая,ADSL,паркинг,частично,ламинат,2.6 м,нет,Нет,"Кладовка, удобно под коммерцию.

Срочно! 3ком кв в центре города на 1 этаже 
Очень удобен под коммерцию 
 
Балкон лоджия большой 14 м2, застекленный 
 
Есть в подвале личная индивидуальное помещения 
 
Рядом 100 метр, школы, рынки все рядом 
 
Можно через банк, показ в любое время",,да,,"решетки на окнах, домофон, видеонаблюдение",
https://krisha.kz/a/show/1012039883,"3-комнатная квартира · 90 м² · 4/12 этаж, Байтурсынова 16 — Горячая Цена!!",3,52500000,"Астана, Сарайшык р-н",кирпичный,2021,4 из 12,90 м²,2 с/у и более,лоджия,металлическая,,паркинг,полностью,ламинат,2.85 м,нет,Нет,"✨ Эксклюзив в ЖК Bai-Tursyn | Комфорт+ класс 
 
В продаже квартира, где дизайн, комфорт и локация сошлись в одном объекте. 
 
📐 Площадь: 90 м² 
🏢 Этаж: 4 из 12 
 
Современная евротрешка с продуманной планировкой: 
— просторная кухня-гостиная 
— мастер-спальня с гардеробом и собственным санузлом 
— комнаты на две стороны (распашонка) 
— большая лоджия 
 
Интерьер выполнен в дорогом дизайнерском стиле — квартира делалась для себя, без экономии на материалах и деталях. 
Важно: мокрые точки не переносились — всё узаконено и удобно. 
 
🏡 Преимущества ЖК: 
— застройщик GBG (комфорт+ класс) 
— закрытый двор и пандус 
— 2 скоростных лифта 
— собственный КСК прямо в доме (удобство и сервис) 
 
📍 Локация: первая линия ул. Ахмета Байтурсынова — всё рядом, быстрый доступ к ключевым точкам города 
 
💎 Квартира для тех, кто ценит качество, продуманность и комфорт без компромиссов 
 
📞 Звоните — такие объекты долго на рынке не задерживаются",свежий ремонт,да,отдельный,,Bai-Tursyn
https://krisha.kz/a/show/1012269298,"3-комнатная квартира · 116.7 м² · 14/18 этаж, мкр Новый Город, Ержанова 63/2",3,66000000,"Караганда, Казыбек би р-н",,2025,14 из 18,116.7 м²,,,,,,,,,нет,Нет,"ПОМОЩЬ С ИПОТЕКОЙ ЛЮБОЙ СЛОЛЖНОСТИ!!! 
ШИКАРНАЯ ПАНОРАМА 
3-х комн 
Панорамные окна с видом на парк 
117 кв.м. 
кухня 14 кв.м. 
 -Уважаемый клиент, с этой квартирой от нашей компании ""ЦАН"" 
 Вы получаете: 
- Профессиональное юридическое сопровождение сделки; 
- Подготовка полного пакета документов с обеих сторон; 
- Профессиональную помощь в оформлении ипотеки по самым выгодным программам. 
- 0% комиссии при покупке! 
-100% прозрачность и безопасность сделки 
Звоните! Отвечу на все интересующие вопросы! 
 Пора делать свой правильный выбор!",,,,,
https://krisha.kz/a/show/1011980549,"2-комнатная квартира · 56 м² · 2/18 этаж, Кенен Азербаев 47 — Срочно!",2,23000000,"Астана, Сарайшык р-н",,2016,2 из 18,56 м²,совмещенный,лоджия,металлическая,проводной,паркинг,частично,ламинат,2.7 м,нет,Нет,Срочная продажа! Звоните по всем вопросам! Кухня на балконе! торг реальному клиенту!,"не новый, но аккуратный ремонт",да,есть возможность подключения,,Жайна
https://krisha.kz/a/show/1012207210,"1-комнатная квартира · 38.6 м² · 2/9 этаж, Сейфуллина 2А",1,19300000,"Костанай, Костанайская обл.",иной,2021,2 из 9,"38.6 м², Площадь кухни — 11 м²",совмещенный,,,,,,,2.7 м,нет,Нет,"Продается 1 комнатная квартира в доме 2021 года, застройщик Ирина и К. 
Квартира находится на 2 этаже в 9 этажном доме. Дом двух подъездный. 
Общая квадратура 38, 6 м2, большая кухня 11 м2 правильной квадратной формы, просторный санузел, балкон застеклен, широкий. В квартире аккуратный ремонт, можно заехать и жить. Частично меблирована. Документы готовы к продаже, без обременений. 
Полное сопровождение сделки, также ипотеки. 
Для просмотра и по всем вопросам звоните по телефону.",,,,,
https://krisha.kz/a/show/1011420916,"3-комнатная квартира · 111 м² · 9/21 этаж, Мангилик Ел 62",3,84000000,"Астана, Есильский р-н",монолитный,2025,9 из 21,111 м²,,,,,паркинг,,,3 м,нет,Нет,"- В Ипотеку дороже 
- Документы на руках 
- Никто не жил 
- Могу выслать видео квартиры.",свежий ремонт,,,,Arai Towers
